launch_name,date,success,rocket_id,payloads,launchpad_id
Starlink 4-35 (v1.5),2022-09-24T23:30:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Crew-5,2022-10-05T16:00:00.000Z,True,5e9d0d95eda69973a809d1ec,1,5e9e4502f509094188566f88
USSF-44,2022-11-01T13:41:00.000Z,,5e9d0d95eda69974db09d1ed,1,5e9e4502f509094188566f88
Starlink 4-36 (v1.5),2022-10-20T14:50:00.000Z,,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Galaxy 33 (15R) & 34 (12R),2022-10-08T23:05:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4501f509094ba4566f84
Hotbird 13F,2022-10-15T05:22:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4501f509094ba4566f84
Hotbird 13G,2022-11-03T03:24:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4501f509094ba4566f84
Galaxy 31 (23R) & 32 (17R),2022-11-08T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4501f509094ba4566f84
Eutelsat 10B,2022-11-15T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4501f509094ba4566f84
ispace Mission 1 & Rashid,2022-11-22T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4501f509094ba4566f84
CRS-26,2022-11-18T22:00:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4502f509094188566f88
Starlink 4-37 (v1.5),2022-11-01T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4501f509094ba4566f84
"O3b mPower 1,2",2022-11-01T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
SWOT,2022-12-05T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4502f509092b78566f87
SES-18 & SES-19,2022-11-01T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4501f509094ba4566f84
Transporter-6,2022-12-01T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,0,5e9e4501f509094ba4566f84
TTL-1,2022-12-01T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,1,5e9e4502f509092b78566f87
WorldView Legion 1 & 2,2022-12-01T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
Viasat-3 & Arcturus,2022-12-01T00:00:00.000Z,,5e9d0d95eda69974db09d1ed,0,5e9e4502f509094188566f88
O3b mPower 3.4,2022-12-01T00:00:00.000Z,,5e9d0d95eda69973a809d1ec,1,5e9e4501f509094ba4566f84
